epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,144.546,0.91579,0.60705,1.13038,0.88176,0.93259,0.95768,0.68318,1.11615,0.64407,1.35795,0.000614,0.000614,0.000614
44,147.656,0.91752,0.6258,1.13971,0.77957,0.95833,0.93431,0.66647,1.09233,0.65571,1.3131,0.000581,0.000581,0.000581
45,150.703,0.87591,0.63611,1.1352,0.91878,0.94314,0.96746,0.72049,1.04203,0.52571,1.30375,0.000548,0.000548,0.000548
46,154.619,0.86839,0.59376,1.11442,0.9191,0.94708,0.96614,0.71413,1.01906,0.56517,1.3013,0.000515,0.000515,0.000515
47,157.67,0.84921,0.57911,1.12543,0.95778,0.91667,0.97434,0.7217,1.01186,0.54794,1.26425,0.000482,0.000482,0.000482
48,160.773,0.8469,0.5601,1.08572,0.95627,0.91143,0.97482,0.74371,0.96327,0.52129,1.23146,0.000449,0.000449,0.000449
49,163.949,0.85781,0.56047,1.11601,0.85546,1,0.97433,0.72555,0.99737,0.53,1.26924,0.000416,0.000416,0.000416
50,167.673,0.84474,0.59574,1.10964,0.9216,0.97995,0.98577,0.73157,0.94632,0.49599,1.24887,0.000383,0.000383,0.000383
51,172.044,0.81837,0.60642,1.13368,0.91064,0.95833,0.98214,0.7327,0.98035,0.47047,1.27041,0.00035,0.00035,0.00035
52,175.123,0.79064,0.57161,1.12371,0.88459,0.95809,0.97361,0.728,0.98678,0.52446,1.27723,0.000317,0.000317,0.000317
53,178.753,0.77135,0.54817,1.102,0.95568,0.89885,0.97517,0.72436,0.96201,0.48067,1.26947,0.000284,0.000284,0.000284
54,182.029,0.77121,0.51226,1.09449,0.90995,0.95833,0.96321,0.72712,0.95555,0.47508,1.27361,0.000251,0.000251,0.000251
55,185.085,0.76473,0.49316,1.06325,0.95816,0.95437,0.98076,0.73912,0.9492,0.48495,1.26111,0.000218,0.000218,0.000218
56,188.117,0.72929,0.45463,1.05728,0.95802,0.95103,0.982,0.76609,0.91189,0.47276,1.21304,0.000185,0.000185,0.000185
57,191.883,0.7371,0.45847,1.08672,0.95799,0.95046,0.982,0.76342,0.90616,0.45817,1.20115,0.000152,0.000152,0.000152
58,195.148,0.73841,0.44617,1.07358,0.95203,0.95833,0.98429,0.75785,0.90623,0.45195,1.1949,0.000119,0.000119,0.000119
59,198.181,0.73266,0.45351,1.07775,0.94944,0.95833,0.98429,0.7521,0.89554,0.44759,1.18622,8.6e-05,8.6e-05,8.6e-05
60,201.216,0.74502,0.45116,1.10886,0.94351,0.95833,0.98429,0.77086,0.8977,0.44475,1.18737,5.3e-05,5.3e-05,5.3e-05
